beta,alpha1,alpha2
2.1579142972483663,1.0692106736445208,1.0579638031071275
2.131472198206095,1.078819381028119,1.0660432189425948
2.0837362985530654,1.0967725881351358,1.0572978220414173
2.154428182360952,1.0729315673106303,1.0634061627992777
2.1117833051497548,1.099508320380674,1.0510201066581182
2.22326901399996,1.0787429442258931,1.062434154388455
2.30525608923392,1.044713612105125,1.0631150421187638
2.304592136009071,1.0537666328427246,1.05913688038719
2.235068434334559,1.0661301315077725,1.0595700787562503
2.107333951415926,1.0742703209348177,1.0773545633547315
1.4448460604783009,1.1527612685940432,0.8857840387528787
1.5923492839625264,1.1755344653625441,1.080986022253936
1.5872952255071995,1.161113735872098,0.9861566279071159
1.4622728814930517,1.169873171558466,1.0690550722121688
1.4469362477210246,1.1672624119632984,1.028495935659041
1.621717610012023,1.1682588474760383,1.058582267492034
1.5137261434744256,1.17405973998852,1.049571801383415
1.5640257231261683,1.1760277954545437,1.0560406960234303
1.6725656112542202,1.1740526190783072,1.0634998652251793
1.7585829725041788,1.167546303527457,1.0086441963794919
1.9248375986397523,1.157514015871524,1.034739859700314
1.9234494998754323,1.1512321842201796,0.9292807278058686
1.9378904556234087,1.1551833810433256,1.0966735399253749
1.9327414909755967,1.1700736021267084,1.0633205524998433
1.8943064346672205,1.153971771709107,1.0685715973060828
1.814410803319237,1.165907594220934,1.0231731351071316
1.9142464270142194,1.1616615011463067,1.045861996615077
1.9421236952355556,1.1559106748453525,1.0655749727771646
1.9033183248377714,1.149112117341845,1.037858523543782
1.9001544259362606,1.1504337032061882,1.0491153944665372
2.077784336666731,1.0889883222761387,1.041700364287967
2.1573324948480073,1.098255549746546,1.066047361361849
2.348559789080015,1.1263820679647207,1.0449650459017978
2.1134566605304057,1.0624957139257423,1.053509366290791
2.541785307440186,1.0692284828113177,1.0186352019387364
2.105116297966905,1.1133495053102092,1.0700114986610458
2.6950278632889795,1.1409303259182926,1.0028131477375843
2.706880087551548,1.0911156578548857,1.0161145720822604
1.7679081700235126,1.1368575103852372,1.051491432205815
2.24070145782642,1.096740773506138,1.0610229598794862
2.4764906158106488,1.1207655886994987,1.0257303109117017
2.3300942030315186,1.0907632808502152,1.0462534179795269
1.6319711453724361,1.139433589701119,1.0593751666177784
2.171972310541775,1.079390422494904,1.0583292377821303
2.145761975393413,1.087018090369929,1.0710027382910978
2.4291262684245893,1.0799862141595353,1.0325749156392787
2.0659818401808234,1.0980663838190703,1.0624348127151362
1.847933282419564,1.1143067361441161,1.0833667255269224
1.9425951971156272,1.117471630305844,1.0699222897991234
2.3119167236266573,1.1003426002694439,1.0654730917936588
2.320633307054029,1.095705991381257,1.0493777183081758
2.268654512092866,1.0910293084113336,1.0584039092313982
2.3410015567114018,1.0315923367638717,1.0425733911259052
2.5613123685123,1.1204817867882655,1.030945602649524
2.3072502463139997,1.1000235911509912,1.0594984952843725
2.260323332149863,1.1083823067361183,1.058857456905738
2.0740143960810156,1.1015867730088453,1.0676321414138623
2.0401703403680793,1.1390178056742066,1.0420304195165813
2.141741560432896,1.0883593756398278,1.0622887049626626
2.3464936170227744,1.0862593245161847,1.0521367496410785
1.77772766548486,1.130854838192399,1.0815644184956097
2.3059204251389995,1.0974718650611108,1.0303614064633249
2.3039285651338934,1.119420901809935,1.0547065650597796
2.453707923864688,1.0278028911371324,1.027526004783662
2.24070145782642,1.065764336905292,1.054993914458675
2.185617529745509,1.1044480893088027,1.078958390610636
2.084279077329031,1.0954694401140508,1.045570505420596
2.4604985954516216,1.1227646022116984,0.9954696188791314
2.0144885399741246,1.1116176178118171,1.0833115376015434
1.8453761884886715,1.1341292403250853,1.0746779448914558
2.456721366933013,1.155163106225755,1.0258108605930105
2.506748340074101,1.1070133074702047,1.0596143122624058
2.33485363816636,1.0776828536666405,1.0450444306345603
2.3416866578907833,1.1320773776068211,1.0481017668963244
2.063318130251512,1.092318199544446,1.0571175912662278
2.064382789548602,1.1151740237248473,1.061485956855505
2.059070451940841,1.0971694789279787,1.0595328528736534
2.3666202058515067,1.0839785288260706,1.066358001800301
2.5138361889745884,1.0977970741712413,1.0664687463474858
2.5482611609817685,1.1039524340308835,1.0369089021522457
2.374345042702405,1.0455580200674865,1.067701286092559
2.1001436029282163,1.113330434683744,1.0564008365635793
2.495023662863576,1.110449040120185,1.0741966218887429
2.260962019134569,1.0689096894903984,1.0544731559613114
2.0837362985530654,1.110047764188608,1.0504415173255235
2.0968415040199435,1.1194151661602987,1.0621956411078768
1.9674328065912312,1.1278565909010159,1.077491615986944
2.5377545865904962,1.1312231280871612,1.0337754382159645
2.1034561185090137,1.0991570980297545,1.0555222558950723
2.098491254463371,1.0906679559592543,1.0531181315615226
2.6618557053659084,1.184517502389945,1.030247730668786
1.9322747597234482,1.1187147574443927,1.0615884546462393
1.6781782289310174,1.138789954630991,1.068558478466329
2.5828081018501927,1.1315488534437255,1.0298764022760452
2.8495496026257525,1.1500967597339464,1.006456462571022
2.96902908943213,1.1643960954698915,1.017227815227378
1.5273060087423214,1.1558855526471528,1.0671702675218302
2.0617231987426754,1.0784985126106368,1.0602214544500237
2.2432141480767305,1.0743617168796122,1.0631787355134492
2.085909111602309,1.0924441765192896,1.0611674784174816
2.215880725046849,1.0984583559681587,1.0415798427227057
2.018554090950724,1.098393934633768,1.0626450768859648
2.3554733859696584,1.0733901938262744,1.0403106126191075
2.256498775028371,1.068596229692144,1.0272249601941954
2.4122828442477946,1.090205633533951,1.0466233127771198
2.384960544306596,1.1181791924742521,1.0260144956405504
1.8708325347196983,1.135836024758568,1.0705960419618272
2.2533215168857574,1.1012425013575482,1.03270487996924
1.7108302928238788,1.13381337578958,1.0578393903438634
1.9742287483368317,1.1135183719110948,1.0466056755824675
2.511469123324932,1.0550835437070711,1.0216777084700148
2.086453023079775,1.0887139950161342,1.0509946525492286
2.252053117508034,1.0851764275804032,1.0683414452206708
2.5778155858342235,1.081976395798951,1.0263152778268323
2.121863374148892,1.0783017535303996,1.071674100688
2.137165208893728,1.1040043975041771,1.0557686925967014
2.497359815819253,1.1001318818974313,1.0356377973045827
2.6547904319786233,1.0914686438442815,1.0401205348174363
2.25777218852332,1.098244074673751,1.048954848546571
1.924374676493767,1.132784882446662,1.0681963556153868
1.8139994670456243,1.133487929813737,1.0589765828413034
2.2313287936463646,1.0588290536478615,1.0719654539446903
2.151531679231643,1.100508086175858,1.0336295069960495
2.121863374148892,1.0771021273869468,1.0769359879879028
2.1707938173249643,1.0806359052965682,1.038236671372792
2.1320401340502264,1.0985179813734465,1.0878441457010763
2.5281328162951713,1.1399351649816873,1.026885131907717
2.4151953360529306,1.0689629074989078,1.0485786658991758
2.6495160415018577,1.1757368179005923,1.0178548803407457
2.7744578609084494,1.1406169607184022,1.02519180512748
1.9069471354316765,1.1182911483279114,1.0623053646501073
1.9069471354316765,1.123584235905654,1.0487609148582338
1.9069471354316765,1.119348427682132,1.0585630411700035
1.9069471354316765,1.1106412825960774,1.056295269194201
1.9069471354316765,1.1112460458213762,1.0719337302838223
1.9069471354316765,1.117258212913849,1.0641758859861812
1.9069471354316765,1.1236599978516577,1.0487695466169191
1.9069471354316765,1.1060821087554706,1.0632375691547982
1.9069471354316765,1.1295691247048374,1.0685905761317191
1.9069471354316765,1.1234521209488295,1.0593898617647224
1.6333036343546679,1.1667252905110521,1.0333062402119106
1.6333036343546679,1.1607150796607844,1.041225450470523
1.6333036343546679,1.164214060405988,1.0499741955155075
1.6333036343546679,1.1658576434340668,0.9983121001361945
1.6333036343546679,1.1651317009406954,0.9927572110013927
1.6333036343546679,1.1661393944525547,1.0186981511891484
1.6333036343546679,1.1652032205602734,1.0759681901491054
1.6333036343546679,1.1670348746647654,0.8976077117525705
1.6333036343546679,1.165103462434136,1.055810433755558
1.6333036343546679,1.1569644505244225,0.8935986768293575
1.988456484136676,1.1290664865351308,1.0458689973260769
1.988456484136676,1.119910582455632,1.0702768669696812
1.9355466202973057,1.1450942615218407,1.0637965962569784
2.020593026340163,1.1381488474236192,1.0384147520054943
1.9211404456115613,1.1177232465893467,1.065116317945116
2.0241710922748024,1.1645474896648207,1.070877200447491
1.8721457019756567,1.1678074562354102,1.0514417207140188
1.922063401726286,1.145712879711344,1.0141744290090395
2.0293046529636847,1.1439382314922997,1.0027743094994355
1.9664657752982768,1.1662763442059247,1.0400722209508428
2.37223327224422,1.1900909793263208,1.0030705638797737
2.2091511332117597,1.1698202474141373,1.008448192327411
2.3396325562789784,1.1833065076961635,1.0105965711559444
2.1292034773599364,1.1667461685479643,1.070841372339722
1.8787392876366433,1.143607793475249,1.0891160237244375
1.9791118080240915,1.1443014266537033,1.0328486776123698
2.2783440521145164,1.1766468549555311,1.020669170536199
2.0018885864138887,1.142281547537249,1.0710735827982616
1.982544347273645,1.1548387245345082,1.0608021380296169
2.3757549796988258,1.1962092561086382,1.0093432935913857
1.819361428922761,1.1644459778238647,1.0785741442940793
2.0318812102382076,1.1584491785233997,1.0965528380233545
1.7524206356282113,1.1392962271013116,0.9970898223295783
1.5926662314695308,1.168408966381848,1.0724626695387245
1.4779381159899816,1.1727267982780594,1.0786405340028655
1.926691516553741,1.189061404577098,1.0011385138414186
1.9341430385521121,1.1629635983897482,1.0322423693378662
1.7152311275434475,1.1621487163028954,1.0197630407227876
1.7006489777756084,1.1661966843974385,1.0528586071724184
1.8305997224437762,1.1550414850673314,1.0599094145027714
1.7394680058632392,1.1475062976071602,1.0497952116468257
1.648105926010407,1.1560596870566022,0.998318005129004
1.8385917418434234,1.1511598283152271,1.0754983649741936
1.809487046686737,1.1511551242576072,1.0502128871181076
1.817295388837671,1.155916386784541,1.0362243594998928
1.957326170284573,1.1720383725747714,1.071184991508306
1.8276727805063222,1.1456942743870058,1.0600526493795945
1.9304100867267853,1.1698206380413603,1.038077780442512
1.9411813777928393,1.1486867806484082,1.058103820933831
1.9074017099136116,1.1656439623665995,1.047856803253842
1.8247551833897226,1.172029704299254,1.0347742707431167
1.8247551833897226,1.1683025002896945,1.0588068147175513
1.8247551833897226,1.173124531320042,1.0594903878265436
1.8247551833897226,1.167581471840782,1.0427266511684894
1.8247551833897226,1.168913638722426,1.0674125203471974
1.8247551833897226,1.163881083048306,1.0633255351510686
1.8247551833897226,1.1708791718769058,1.0255736532310888
1.8247551833897226,1.1644947339413965,1.0407344439352757
1.8247551833897226,1.1702803762321141,1.046193509858571
1.8247551833897226,1.1722952362108714,1.0360391014608705
1.7558816255395728,1.1359257757039949,1.0590002220049515
1.5346290878544737,1.1440558699640677,1.0049796451424682
1.4644138312035517,1.17902211553167,1.0544810998132035
1.5999910080280548,1.1545129611612786,1.0879124046774094
1.4975775125594653,1.1598351194002614,1.07316196437817
1.346837069816639,1.1832623341913373,1.0497492646588822
1.5447019121410743,1.1653382663398217,1.0581437719864755
1.6158228556048206,1.1620196329976744,1.0268696501664072
1.4657551112840705,1.1558859668531807,1.0470478229906728
1.8411300553127483,1.1405260445375154,1.0409929067394963
2.14002313370791,1.1830507241351844,1.0151781320178426
1.7655676113227368,1.1661514538780984,1.0368057882945
2.229463662159609,1.2083712617369904,0.9972879951156233
1.8787392876366433,1.150550483295522,1.0754398462187775
2.041732087329183,1.1612006558158834,1.0287094770436485
1.988456484136676,1.151847430361546,1.0409498994635396
1.6207321659656577,1.1670239261171287,1.0188692620727644
1.7226163817609954,1.1714978893880086,1.0764071877237742
1.7215045419213442,1.1744564300096656,1.0589322393961607
1.8911724012200362,1.1466221450367018,1.0031171541691781
2.0406906571540313,1.1659806949495177,1.0535798272234689
2.0804855532542437,1.1737493596992186,1.0449099410991614
1.6399988519979336,1.1636275130994416,1.0400628046040274
1.5726327561900846,1.1701156733879396,1.0591976606797575
1.6135420078644231,1.14941579174899,1.018631116044703
2.0511530123975072,1.1872406953573553,1.0422617620777972
1.7278240144639965,1.1486289121931101,1.0385593156908832
2.067049250878808,1.1523607058189258,1.0360946668601072
1.550388648522061,1.1731551872250683,1.0303359707862902
2.0432962271513575,1.194046431923726,1.0046215116205583
1.3193008189514341,1.1754703579426413,1.0214352780700888
2.1573324948480073,1.1804195771206352,1.0263919916705941
1.7616804218283846,1.1557416141255046,1.0309207401505984
2.091907779688508,1.1821830547627907,1.0022256620046692
1.8655982358858978,1.1639520703682897,1.0487128941086707
1.9496952984198899,1.1430876492890156,1.0474722526698403
1.7908576577555901,1.1469300484494094,1.0629622639551455
2.2419570989226805,1.205010897902716,0.9965325481168107
1.6880914849962685,1.15704385060978,1.0673958306229827
2.3280603797937354,1.184769460114632,1.0089486502022176
2.1360241751548474,1.1612446794698355,1.040815186197396
2.086453023079775,1.1726631353007582,1.0292108661778423
1.7520369232192428,1.1462890572491304,1.0276833504539153
1.9425951971156272,1.1772487658180428,1.0231298459629365
1.8322764736211992,1.177940055387073,1.0317260277894413
2.0973911325437053,1.176436293591799,1.0363829324126397
1.9304100867267853,1.1813542886010786,1.0252792069905714
2.1725620371209224,1.1910166522958296,1.0263252216296237
1.8818322147616275,1.1549452346955156,1.0368144315681458
2.2325739493131884,1.2008673213773293,1.012912643458944
2.144037093649684,1.18973929115074,1.0066290420901602
1.6266628602660578,1.1517555644242847,1.0147422081552397
1.8539274833525006,1.1593035970022176,1.0537237265356327
2.0069096063577447,1.189339667918337,0.9956484116089264
1.9859888138900403,1.1807798410800021,1.0223635879013584
2.5409781392751714,1.2171629388621195,0.9743407540928716
2.0448627653382214,1.1492527439821016,1.0559964366247452
1.6611073417722781,1.162472864769647,1.0473815309638033
1.6236920975235751,1.1678355185438842,1.0520353406641538
2.201856224484207,1.2159728189173091,0.9906537731677695
1.794069947104855,1.1541015126168879,1.0184110590792623
1.9369522406428992,1.1533692012242909,1.0601027618388466
1.6767715460547208,1.1554076186785773,1.0655121100496119
1.4314056700052735,1.1761118339770538,1.0005925967474492
1.9909302943697345,1.1512179391100055,1.0575273235236806
1.5901341786401748,1.155098242047192,1.0399688098963982
2.1201766853657884,1.195415250938563,1.0099543047447797
2.0745521212296607,1.164056327939183,1.030653463368493
2.141168444965035,1.1929707864900445,1.0113070699118627
2.18621469042658,1.199630081782826,1.0102087565484938
1.8916194852237902,1.1738314191961587,1.026716027865881
1.8796219431749392,1.1497419146074745,1.0139759230514198
2.2432141480767305,1.1823374212721454,1.0040398315808445
2.1761071326332995,1.182563593611257,1.0160595058941808
1.7501208789636562,1.16091294563283,1.0592870612482899
2.1168113396173505,1.2060865421831333,0.9855543680292577
2.1134566605304057,1.164246580180189,1.0471308264482733
2.03136537549375,1.1442379751095377,1.062089678343443
1.9411813777928393,1.1576778008260842,1.0573157345092912
1.916998088508502,1.163049415315994,1.0491431221678944
1.7308139657651065,1.1446547045461317,0.9989751538623367
2.160828022725053,1.1946862138628012,1.0097190808661471
1.4727695640804743,1.1694061315136999,1.0401610052387458
1.9924175372432336,1.1469209180280702,1.0418081091875553
1.8222617896988011,1.147972551044113,1.0525031588536964
2.1045626137091444,1.206540283055693,0.9945794209488458
2.005400657742979,1.1594552233447104,1.0509170508139325
1.8695212083456196,1.1421751532354805,1.0496739884502697
1.757810311314697,1.1473586103703914,1.0561515370856167
2.1388790470500023,1.1835295110210908,1.0097515204949963
1.807035175970203,1.1628585713495632,1.0267158975235597
2.2079319601986147,1.1935173054549792,1.022045884716355
1.8352181912420507,1.1683233570647522,1.0594306538032252
2.1023507861996933,1.213210353648401,0.997389649712979
1.9909302943697345,1.1639493929731313,1.0514253250038414
1.5933005051532048,1.1695227531059655,1.0444043343841092
2.085909111602309,1.190205803603219,1.004935841818663
1.7804967019554576,1.153178423467191,1.0481609677923593
1.819361428922761,1.1486542934956034,1.0601711499035171
1.9355466202973057,1.157055427515893,1.0634739585303046
1.9064927775676923,1.1555769806791367,1.0489807820064208
1.7769380934543835,1.1452303490064346,1.0810235905259897
1.9341430385521121,1.150425152370428,1.0242566233654808
2.3099144954137976,1.2058462447419245,1.0016647007902868
1.778517939510675,1.1715041255098098,1.0493729589761485
1.9544576036775165,1.125049933951206,1.0569114658998917
1.7916596511818064,1.159315740111794,1.0739248904934493
2.321306536722697,1.2125985534428276,0.9804538583759708
2.1012466149489044,1.1510342156202384,1.0481336119577753
2.0339471716495527,1.2007807550755905,1.0188413661575302
1.982053255723862,1.1503613759911389,1.0404568081085723
1.9810718021459024,1.1630704727802914,1.052914105909251
2.042253201125019,1.1956001052957785,1.0102498988061568
2.1331769141897574,1.2015078638048,1.0009661189323935
1.7108302928238788,1.1570840545037524,1.0240217747184968
2.085909111602309,1.1967044130768485,1.014642121008557
1.8796219431749392,1.132442815199609,1.0476747566413602
1.8301810140481842,1.1747694841059537,1.0292843297443213
1.8717077747753428,1.1457444505311072,1.0531975125383632
2.175515480163845,1.168042730386511,0.9827293711957603
